,,,,,effect_difference_mse,effect_difference_mse,effect_difference_mse,effect_difference_pearson,effect_difference_pearson,effect_difference_pearson
,,,,,mean,count,<lambda_0>,mean,count,<lambda_0>
state,export,method,anchor_a,anchor_b,,,,,,
B-init,internal,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-init,internal,model,ACH-000551,ACH-000739,62.99455976486206,28,0,-0.14253356299159184,28,0
B-init,internal,model,ACH-000551,ACH-000971,75.13710773581326,101,0,0.28850042212820504,101,0
B-init,internal,model,ACH-000739,ACH-000971,162.07025496164957,24,0,-0.19230264015888052,24,0
B-init,internal,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-init,internal,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-init,internal,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
B-init,internal,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-init,internal,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-init,internal,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
B-interface,external,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
B-interface,external,global_mean,ACH-000551,ACH-000971,3.3729578410044754,101,0,-0.06913237565014796,101,0
B-interface,external,global_mean,ACH-000551,ACH-000995,3.4507336964209876,228,0,0.029472701675743732,228,0
B-interface,external,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-interface,external,global_mean,ACH-000739,ACH-000995,12.903200767233841,234,0,0.011558825657988837,234,0
B-interface,external,global_mean,ACH-000971,ACH-000995,4.607950069250599,217,0,-0.1453175593028693,217,0
B-interface,external,model,ACH-000551,ACH-000739,10.269912719726562,28,0,0.12645930562094035,28,0
B-interface,external,model,ACH-000551,ACH-000971,4.36644173612689,101,0,0.2947623757715736,101,0
B-interface,external,model,ACH-000551,ACH-000995,20.88235046570761,228,0,0.19210113130686043,228,0
B-interface,external,model,ACH-000739,ACH-000971,16.20884942015012,24,0,0.11274271957572128,24,0
B-interface,external,model,ACH-000739,ACH-000995,25.966684773436977,234,0,0.2591952378021166,234,0
B-interface,external,model,ACH-000971,ACH-000995,18.03486571773406,217,0,0.25828524291739113,217,0
B-interface,external,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-interface,external,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-interface,external,no_change,ACH-000551,ACH-000995,3.450733853471384,228,0,,0,228
B-interface,external,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
B-interface,external,no_change,ACH-000739,ACH-000995,12.90320058994823,234,0,,0,234
B-interface,external,no_change,ACH-000971,ACH-000995,4.607949663691806,217,0,,0,217
B-interface,external,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-interface,external,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-interface,external,perturbation_mean,ACH-000551,ACH-000995,3.4507338167413284,228,0,0.011750555406475734,208,20
B-interface,external,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
B-interface,external,perturbation_mean,ACH-000739,ACH-000995,12.903200630194101,234,0,0.043234673258561014,132,102
B-interface,external,perturbation_mean,ACH-000971,ACH-000995,4.607949641580406,217,0,0.003048345780933493,189,28
B-interface,internal,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
B-interface,internal,global_mean,ACH-000551,ACH-000971,3.3729578410044754,101,0,-0.06913237565014796,101,0
B-interface,internal,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-interface,internal,model,ACH-000551,ACH-000739,10.269912719726562,28,0,0.12645930562094035,28,0
B-interface,internal,model,ACH-000551,ACH-000971,4.3664446490826,101,0,0.2947617883067239,101,0
B-interface,internal,model,ACH-000739,ACH-000971,16.20884942015012,24,0,0.11274271957572128,24,0
B-interface,internal,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-interface,internal,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-interface,internal,no_change,ACH-000739,ACH-000971,14.51883984108766,24,0,,0,24
B-interface,internal,perturbation_mean,ACH-000551,ACH-000739,7.596077484389146,24,0,0.026869595303300367,13,11
B-interface,internal,perturbation_mean,ACH-000551,ACH-000971,7.653782518373595,18,0,-0.02606858920752059,16,2
B-interface,internal,perturbation_mean,ACH-000739,ACH-000971,13.007960847445897,21,0,0.02881745241112723,8,13
B-joint,external,global_mean,ACH-000551,ACH-000739,9.50925782748631,28,0,0.04690883558329134,28,0
B-joint,external,global_mean,ACH-000551,ACH-000971,3.3729578410044754,101,0,-0.06913237565014796,101,0
B-joint,external,global_mean,ACH-000551,ACH-000995,3.4507336964209876,228,0,0.029472701675743732,228,0
B-joint,external,global_mean,ACH-000739,ACH-000971,14.518839925527573,24,0,-0.04633217119222649,24,0
B-joint,external,global_mean,ACH-000739,ACH-000995,12.903200767233841,234,0,0.011558825657988837,234,0
B-joint,external,global_mean,ACH-000971,ACH-000995,4.607950069250599,217,0,-0.1453175593028693,217,0
B-joint,external,model,ACH-000551,ACH-000739,61.31697055271694,28,0,-0.1438875519864898,28,0
B-joint,external,model,ACH-000551,ACH-000971,70.09385700036984,101,0,0.2864392177523031,101,0
B-joint,external,model,ACH-000551,ACH-000995,29.04230506796586,228,0,0.14251420286198996,228,0
B-joint,external,model,ACH-000739,ACH-000971,156.9076312383016,24,0,-0.19726428598922788,24,0
B-joint,external,model,ACH-000739,ACH-000995,114.05251247047359,234,0,-0.21303758083714863,234,0
B-joint,external,model,ACH-000971,ACH-000995,35.635796744702596,217,0,0.2990606148287397,217,0
B-joint,external,no_change,ACH-000551,ACH-000739,9.509257876447268,28,0,,0,28
B-joint,external,no_change,ACH-000551,ACH-000971,3.372957817103603,101,0,,0,101
B-joint,external,no_change,ACH-000551,ACH-000995,3.450733853471384,228,0,,0,228
