export,role,model_id,panel,state,metric,contrast,pairs,undefined,unmatched_left,unmatched_right,delta,relative_improvement_pct,ci_low,ci_high
external,external,ACH-000995,native_all,B-unfreeze,mean_delta_mse,wrong_minus_correct,2009,0,0,0,0.136538644000747,,0.10565396115636279,0.16849094287146976
external,external,ACH-000995,native_all,B-unfreeze,energy_distance,wrong_minus_correct,2009,0,0,0,0.7286178034416415,,0.5617747366351236,0.8939448128297236
external,external,ACH-000995,native_all,B-unfreeze,without_own_response_loss,wrong_minus_correct,2009,0,0,0,0.8653636174750248,,0.6699175966242884,1.0641832940028997
external,external,ACH-000995,native_common,B-continue,response_loss,wrong_minus_correct,2006,0,0,0,0.3403745894655512,,0.26427446518438796,0.41785336675101903
external,external,ACH-000995,native_common,B-continue,mean_delta_mse,wrong_minus_correct,2006,0,0,0,0.04970756829795193,,0.03852697543881591,0.06140128562540748
external,external,ACH-000995,native_common,B-continue,energy_distance,wrong_minus_correct,2006,0,0,0,0.29066699437819365,,0.2255273482949284,0.3564471532530705
external,external,ACH-000995,native_common,B-continue,without_own_response_loss,wrong_minus_correct,2006,0,0,0,0.3404510016931022,,0.26428896003563435,0.41782646867594253
external,external,ACH-000995,native_common,B-init,response_loss,wrong_minus_correct,2006,0,0,0,-0.0009804738007651703,,-0.06308009228463834,0.059359230790752046
external,external,ACH-000995,native_common,B-init,mean_delta_mse,wrong_minus_correct,2006,0,0,0,0.0008098406901030106,,-0.009603453742661562,0.010377087848611865
external,external,ACH-000995,native_common,B-init,energy_distance,wrong_minus_correct,2006,0,0,0,-0.001789908442397199,,-0.05405246854422754,0.049977928058932246
external,external,ACH-000995,native_common,B-init,without_own_response_loss,wrong_minus_correct,2006,0,0,0,-0.0009944965214212628,,-0.06308581836202105,0.05929312478747309
external,external,ACH-000995,native_common,B-interface,response_loss,wrong_minus_correct,2006,0,0,0,0.20230779410121688,,0.17392700970232325,0.23143359598348076
external,external,ACH-000995,native_common,B-interface,mean_delta_mse,wrong_minus_correct,2006,0,0,0,0.029674954095842348,,0.02522536518626059,0.034259159229212945
external,external,ACH-000995,native_common,B-interface,energy_distance,wrong_minus_correct,2006,0,0,0,0.17263292519901216,,0.14849320998339194,0.1973022990545269
external,external,ACH-000995,native_common,B-interface,without_own_response_loss,wrong_minus_correct,2006,0,0,0,0.20239969863967658,,0.17402897663154474,0.23145822838795652
external,external,ACH-000995,native_common,B-joint,response_loss,wrong_minus_correct,2006,0,0,0,0.06413889587341506,,0.052524176480644565,0.07589821970474707
external,external,ACH-000995,native_common,B-joint,mean_delta_mse,wrong_minus_correct,2006,0,0,0,0.007657470731649659,,0.004457833476936635,0.010675626356128709
external,external,ACH-000995,native_common,B-joint,energy_distance,wrong_minus_correct,2006,0,0,0,0.05648151371082051,,0.04540375014482943,0.06760381274541828
external,external,ACH-000995,native_common,B-joint,without_own_response_loss,wrong_minus_correct,2006,0,0,0,0.06410718938764771,,0.052492588552853284,0.07590233207580967
external,external,ACH-000995,native_common,B-unfreeze,response_loss,wrong_minus_correct,2006,0,0,0,0.8808784252862744,,0.6954914582215416,1.0763574169592502
external,external,ACH-000995,native_common,B-unfreeze,mean_delta_mse,wrong_minus_correct,2006,0,0,0,0.13951277350143326,,0.1107001066546615,0.17062521696328403
external,external,ACH-000995,native_common,B-unfreeze,energy_distance,wrong_minus_correct,2006,0,0,0,0.7413655076640194,,0.5839646899450573,0.90561185916661
external,external,ACH-000995,native_common,B-unfreeze,without_own_response_loss,wrong_minus_correct,2006,0,0,0,0.8810860516899005,,0.6955831655310247,1.0767668050307688
external,external,ACH-000995,seen,B-continue,response_loss,wrong_minus_correct,2373,0,0,0,0.3039553686078469,,0.23579336504769396,0.3763225962328997
external,external,ACH-000995,seen,B-continue,mean_delta_mse,wrong_minus_correct,2373,0,0,0,0.04361883134114502,,0.03297507072369159,0.05492756056825769
external,external,ACH-000995,seen,B-continue,energy_distance,wrong_minus_correct,2373,0,0,0,0.2603364708953099,,0.20175643313247543,0.3217065997471349
external,external,ACH-000995,seen,B-continue,without_own_response_loss,wrong_minus_correct,2373,0,0,0,0.3040325994286615,,0.23597773007386033,0.376367606509852
external,external,ACH-000995,seen,B-init,response_loss,wrong_minus_correct,2373,0,0,0,-0.0049076136586235775,,-0.06346178398019836,0.059666775230411
external,external,ACH-000995,seen,B-init,mean_delta_mse,wrong_minus_correct,2373,0,0,0,-0.0001168525525401223,,-0.009477288363304444,0.0094919001438223
external,external,ACH-000995,seen,B-init,energy_distance,wrong_minus_correct,2373,0,0,0,-0.004790462424772069,,-0.0551060398068055,0.04990279563006833
external,external,ACH-000995,seen,B-init,without_own_response_loss,wrong_minus_correct,2373,0,0,0,-0.004915785759348275,,-0.06350300725783362,0.05959886596718301
external,external,ACH-000995,seen,B-interface,response_loss,wrong_minus_correct,2373,0,0,0,0.1895573075491817,,0.16170371829232616,0.21757813282069158
external,external,ACH-000995,seen,B-interface,mean_delta_mse,wrong_minus_correct,2373,0,0,0,0.0277014927275312,,0.02322708849207638,0.03243028422322287
external,external,ACH-000995,seen,B-interface,energy_distance,wrong_minus_correct,2373,0,0,0,0.16185587269316423,,0.13839790045235464,0.18491012563596915
external,external,ACH-000995,seen,B-interface,without_own_response_loss,wrong_minus_correct,2373,0,0,0,0.18964223721034376,,0.16183792627867474,0.21780027515718375
external,external,ACH-000995,seen,B-joint,response_loss,wrong_minus_correct,2373,0,0,0,0.058428404977237676,,0.0478310229835554,0.07044389219963175
external,external,ACH-000995,seen,B-joint,mean_delta_mse,wrong_minus_correct,2373,0,0,0,0.007209252768611748,,0.0041200473200053616,0.01017975303526918
