arm,step,epoch,mean_delta_mse,energy_distance,response_loss
B-continue,10794,42,5.681686952921406,25.370572151041284,31.05225909464643
B-continue,11051,43,5.645316231802743,25.31187596602049,30.957192220271775
B-continue,11308,44,5.62323715421239,25.264601198748768,30.887838389139148
B-continue,11565,45,5.6578386209393186,25.301982039092177,30.959820641310458
B-continue,11822,46,5.640829323126344,25.25386750452952,30.89469680445397
B-continue,12079,47,5.6214982053791,25.196912323968316,30.818410556784258
B-continue,12336,48,5.620154303614065,25.176179244173397,30.79633358833374
B-continue,12593,49,5.623460348293204,25.157903374081105,30.78136380916813
B-continue,12850,50,5.6074987866250146,25.12381202714568,30.731310844973255
B-unfreeze,0,0,5.8973787460339215,27.158352927698264,33.055731735073735
B-unfreeze,257,1,5.786152463629111,26.580513856142137,32.3666663758102
B-unfreeze,514,2,5.630535990433493,25.96658953381193,31.597125454616677
B-unfreeze,771,3,5.548256819391647,25.566501283765703,31.114758089086425
B-unfreeze,1028,4,5.536717704807322,25.285163221711272,30.82188095315939
B-unfreeze,1285,5,5.482314664040242,24.939266840704857,30.421581462510215
B-unfreeze,1542,6,5.428016398380226,24.702637780591356,30.13065422235498
B-unfreeze,1799,7,5.412592080032962,24.488900870626747,29.901492890595645
B-unfreeze,2056,8,5.404700175551287,24.345084543467014,29.749784746919943
B-unfreeze,2313,9,5.3604108076636505,24.160111183232363,29.5205220667584
B-unfreeze,2570,10,5.342430042091894,24.025026474924104,29.367456546432404
B-unfreeze,2827,11,5.30674914059957,23.886611519693194,29.19336065632264
B-unfreeze,3084,12,5.335314430412507,23.817770855628392,29.153085318431852
B-unfreeze,3341,13,5.297814231604348,23.68554751774086,28.983361776951796
B-unfreeze,3598,14,5.298130707540165,23.553575746156813,28.851706492767665
B-unfreeze,3855,15,5.2440159422061,23.376224642241365,28.620240461245686
B-unfreeze,4112,16,5.233695715951343,23.25399097279511,28.487686693758587
B-unfreeze,4369,17,5.263769934113487,23.272234030417618,28.536003962346644
B-unfreeze,4626,18,5.205654495566229,23.116576525821525,28.322231065127344
B-unfreeze,4883,19,5.223663974131944,23.084084503840387,28.307748493985855
B-unfreeze,5140,20,5.17734786745604,22.916944654189706,28.094292616728495
B-unfreeze,5397,21,5.190124868251014,22.87269678289634,28.06282170536552
B-unfreeze,5654,22,5.189276188728119,22.845706405844453,28.034982636169246
B-unfreeze,5911,23,5.161972914768794,22.749124827427337,27.91109765526006
B-unfreeze,6168,24,5.1509715867568415,22.692687566957897,27.843659215664214
B-unfreeze,6425,25,5.116705457141597,22.58981694617631,27.706522404480182
B-unfreeze,6682,26,5.149260418742103,22.60415238060659,27.753412770000825
B-unfreeze,6939,27,5.133296442228694,22.516572741048652,27.649869168842276
B-unfreeze,7196,28,5.105282248139324,22.442011308468313,27.547293538436936
B-unfreeze,7453,29,5.079337401398923,22.377581772174494,27.456919150930062
B-unfreeze,7710,30,5.032727401041011,22.305484334525506,27.33821175352684
B-unfreeze,7967,31,5.087383201028843,22.278830315095362,27.36621357452673
B-unfreeze,8224,32,5.037513324394465,22.181143661119634,27.2186569874369
B-unfreeze,8481,33,5.016753127080816,22.075806312967643,27.092559466222607
B-unfreeze,8738,34,5.104231308596451,22.170464311263284,27.274695612829913
B-unfreeze,8995,35,5.050862602132918,22.09408328651864,27.144945848339237
B-unfreeze,9252,36,5.0886285557221855,22.14723334466635,27.23586196707978
B-unfreeze,9509,37,5.01641478857145,21.96095968544576,26.977374475387382
B-unfreeze,9766,38,5.040358915977996,21.995133888381293,27.03549281918585
B-unfreeze,10023,39,4.950073727446699,21.896095413847817,26.846169085802938
B-unfreeze,10280,40,5.005426388564673,21.86388816177772,26.86931453927511
B-unfreeze,10537,41,5.029897028204097,21.883416177735075,26.913313158199895
B-unfreeze,10794,42,5.0425468191299165,21.91788474682342,26.960431585707372
B-unfreeze,11051,43,4.947221034484114,21.76020385014208,26.707424905881165
B-unfreeze,11308,44,4.955586156344903,21.715923567320612,26.67150970161538
B-unfreeze,11565,45,5.006613413434815,21.761684097002618,26.768297548412608
B-unfreeze,11822,46,4.932043953701373,21.706197022680744,26.638240943889745
B-unfreeze,12079,47,4.896327174138109,21.639056893731702,26.535384043536823
B-unfreeze,12336,48,4.964642874180581,21.65665820028816,26.62130099292229
B-unfreeze,12593,49,4.941165262908751,21.623168159351284,26.56433346571799
B-unfreeze,12850,50,4.956918352551397,21.605191345081902,26.56210975712087
