arm,split,best_epoch,best_step,stopped_epoch,train_geneeffect_loss,train_geneeffect_rmse,train_geneeffect_mae,train_geneeffect_valid_pairs,train_geneeffect_possible_pairs,train_geneeffect_missing_pairs,train_geneeffect_coverage,train_geneeffect_pearson_macro_per_line,train_geneeffect_pearson_per_line_scored,train_geneeffect_pearson_per_line_undefined,train_geneeffect_spearman_macro_per_line,train_geneeffect_spearman_per_line_scored,train_geneeffect_spearman_per_line_undefined,train_residual_pearson_macro_per_gene,train_residual_pearson_per_gene_scored,train_residual_pearson_per_gene_undefined,train_residual_spearman_macro_per_gene,train_residual_spearman_per_gene_scored,train_residual_spearman_per_gene_undefined,train_residual_target_sd_macro_per_gene,train_residual_target_sd_per_gene_scored,train_residual_target_sd_per_gene_undefined,train_residual_prediction_sd_macro_per_gene,train_residual_prediction_sd_per_gene_scored,train_residual_prediction_sd_per_gene_undefined,train_residual_sd_ratio_macro_per_gene,train_residual_sd_ratio_per_gene_scored,train_residual_sd_ratio_per_gene_undefined,train_residual_rmse_macro_per_gene,train_residual_rmse_per_gene_scored,train_residual_rmse_per_gene_undefined,train_residual_mae_macro_per_gene,train_residual_mae_per_gene_scored,train_residual_mae_per_gene_undefined,val_geneeffect_loss,val_geneeffect_rmse,val_geneeffect_mae,val_geneeffect_valid_pairs,val_geneeffect_possible_pairs,val_geneeffect_missing_pairs,val_geneeffect_coverage,val_geneeffect_pearson_macro_per_line,val_geneeffect_pearson_per_line_scored,val_geneeffect_pearson_per_line_undefined,val_geneeffect_spearman_macro_per_line,val_geneeffect_spearman_per_line_scored,val_geneeffect_spearman_per_line_undefined,val_residual_pearson_macro_per_gene,val_residual_pearson_per_gene_scored,val_residual_pearson_per_gene_undefined,val_residual_spearman_macro_per_gene,val_residual_spearman_per_gene_scored,val_residual_spearman_per_gene_undefined,val_residual_target_sd_macro_per_gene,val_residual_target_sd_per_gene_scored,val_residual_target_sd_per_gene_undefined,val_residual_prediction_sd_macro_per_gene,val_residual_prediction_sd_per_gene_scored,val_residual_prediction_sd_per_gene_undefined,val_residual_sd_ratio_macro_per_gene,val_residual_sd_ratio_per_gene_scored,val_residual_sd_ratio_per_gene_undefined,val_residual_rmse_macro_per_gene,val_residual_rmse_per_gene_scored,val_residual_rmse_per_gene_undefined,val_residual_mae_macro_per_gene,val_residual_mae_per_gene_scored,val_residual_mae_per_gene_undefined
A0,train,3,8835,8,0.01513108890503645,0.17503541707992554,0.11751512438058853,3015332.0,3023790.0,8458.0,0.9972028480813813,0.9159345686503778,170.0,0.0,0.7389013688417888,170.0,0.0,0.17060376145076503,4447.0,0.0,0.1671387342250976,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.030805449841339788,4447.0,0.0,0.11980934409604588,4447.0,0.0,0.2598084851397511,4447.0,0.0,0.19645363900470292,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,val,3,8835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016347428783774376,0.18174532055854797,0.12428168952465057,479084.0,480249.0,1165.0,0.9975741750633526,0.9093753623291554,27.0,0.0,0.7129043404538912,27.0,0.0,0.05418371552418712,4447.0,0.0,0.05371498476288222,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.021750008983513956,4447.0,0.0,0.08769169845435129,4447.0,0.0,0.2615557628965026,4447.0,0.0,0.20236819750978496,4447.0,0.0
A1,train,3,8835,8,0.0151302395388484,0.17503045499324799,0.11749528348445892,3015332.0,3023790.0,8458.0,0.9972028480813813,0.9159262254704171,170.0,0.0,0.7389282892734066,170.0,0.0,0.1700549487125608,4447.0,0.0,0.16662157035742767,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.030714903948965637,4447.0,0.0,0.11955444408356622,4447.0,0.0,0.25981410171459823,4447.0,0.0,0.19645073416574504,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,val,3,8835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016356222331523895,0.18179523944854736,0.12432821094989777,479084.0,480249.0,1165.0,0.9975741750633526,0.909355062846199,27.0,0.0,0.7132276056421584,27.0,0.0,0.049975632398406876,4447.0,0.0,0.052300265259563654,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.02007041868317985,4447.0,0.0,0.08139080386273413,4447.0,0.0,0.26164766449211097,4447.0,0.0,0.20253211139304128,4447.0,0.0
A2,train,3,8835,8,0.014302322641015053,0.17013771831989288,0.11403035372495651,3015332.0,3023790.0,8458.0,0.9972028480813813,0.9207731604546863,170.0,0.0,0.7569293065329054,170.0,0.0,0.31506208020306165,4447.0,0.0,0.30504120171214644,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.05127545333087349,4447.0,0.0,0.20193293711609867,4447.0,0.0,0.25250687638142805,4447.0,0.0,0.1905656994767821,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,val,3,8835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016175728291273117,0.18074528872966766,0.12400345504283905,479084.0,480249.0,1165.0,0.9975741750633526,0.9103759682681875,27.0,0.0,0.7127180293781481,27.0,0.0,0.13438864518949098,4447.0,0.0,0.12848021179030847,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.04430808309302173,4447.0,0.0,0.18573994586358622,4447.0,0.0,0.25937579410334105,4447.0,0.0,0.20056132051054495,4447.0,0.0
A3,train,3,8835,8,0.01430174708366394,0.17013420164585114,0.11402187496423721,3015332.0,3023790.0,8458.0,0.9972028480813813,0.920770701454168,170.0,0.0,0.7569507266997202,170.0,0.0,0.3150550896442004,4447.0,0.0,0.3049134380076671,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.05117951386883789,4447.0,0.0,0.20160615473227242,4447.0,0.0,0.2524972731514379,4447.0,0.0,0.19056366562271432,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,val,3,8835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016177630051970482,0.1807580590248108,0.12399399280548096,479084.0,480249.0,1165.0,0.9975741750633526,0.910377656651802,27.0,0.0,0.7131008058963787,27.0,0.0,0.13162549988281816,4447.0,0.0,0.12570540345894515,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.04303247372254637,4447.0,0.0,0.1809929015122424,4447.0,0.0,0.2594109289349612,4447.0,0.0,0.20061515773076244,4447.0,0.0
