evaluation_scope,feature_set,model,weighting,n_folds,spearman_mean,pearson_mean,rmse_mean,mae_mean,r2_mean,auroc_lt_neg1p0_mean,top5pct_enrichment_lt_neg1p0_mean,fit_seconds_mean
internal_cv_all,delta_mask_target,pca50_random_forest,unweighted,5,0.4956883596885801,0.4916985170591205,0.6121034247642112,0.4630588197339577,0.2407680820669463,0.7420508087072134,2.030524506539339,3.569744744199943
internal_cv_all,delta_all,pca50_random_forest,unweighted,5,0.4941988402354006,0.4934653302053055,0.611516517436058,0.4619846630479326,0.2422357033249124,0.7420884583597985,2.077069961084794,3.3828955096000755
internal_cv_all,delta_all,pca20_random_forest,unweighted,5,0.4922237292733377,0.4895567712272831,0.6133929969700429,0.4661810820242705,0.2376939921246448,0.7419900479365344,1.9584015185724692,2.421440349199929
internal_cv_all,delta_all,pca100_random_forest,unweighted,5,0.4913273542189905,0.4832653951872132,0.6156790543650809,0.463398874855471,0.2320320838971444,0.7424056471438492,1.9357273223202145,4.775645838399941
internal_cv_all,delta_mask_target,pca100_random_forest,unweighted,5,0.4906487138635428,0.4827809359537916,0.6158514878701846,0.4636807029164482,0.2315032008697636,0.742006508000896,1.981674245845197,5.02853269440011
internal_cv_all,delta_mask_target,pca20_random_forest,unweighted,5,0.4901653152101954,0.4870311375168715,0.6143338340041264,0.4670169688745668,0.2353760314865252,0.7394635192525912,1.9339368070007448,2.44319696879993
internal_cv_all,delta_all,pca50_ridge,unweighted,5,0.4848062270439771,0.4735007740811777,0.6190230862368923,0.4718674733020537,0.2237697451513816,0.7375761399612266,1.9820485716230585,2.679073073399832
internal_cv_all,delta_mask_target,pca50_ridge,unweighted,5,0.4844393740631847,0.4734498376429541,0.6190363683219526,0.4718061672329828,0.2237352770834673,0.73737469072095,1.9820485716230585,2.683683381800074
internal_cv_all,delta_all,random_forest,unweighted,5,0.4758254919949844,0.4807981715238831,0.6163412106713733,0.4717369125195104,0.2305463371109158,0.733800237896203,2.005769709381006,127.4081337225999
internal_cv_all,delta_mask_target,random_forest,unweighted,5,0.4743023782346589,0.4794162852726969,0.6169553788448371,0.4722698897588856,0.2290477862629932,0.7337063177239415,2.0526844119623755,126.75287561019996
internal_cv_target_index_valid,delta_all,pca50_random_forest,unweighted,5,0.4672126211738487,0.469490817521957,0.6207466441233505,0.4745804647057278,0.2176331108622392,0.7237159816302917,1.873053943604266,3.172773854600018
internal_cv_target_index_valid,delta_mask_target,pca50_random_forest,unweighted,5,0.4662332830595096,0.4680623361154692,0.6212194751285247,0.475176169086512,0.2163198892204919,0.7245085923686394,1.9242804948308168,3.233905051400052
internal_cv_target_index_valid,delta_mask_target,pca100_random_forest,unweighted,5,0.4643418966530878,0.4662689844299031,0.6218663389566155,0.4731513099476809,0.2148635014569238,0.7276602211177713,1.8745479780251295,4.511257912200108
internal_cv_target_index_valid,delta_mask_target,pca20_random_forest,unweighted,5,0.4638689452407816,0.4665899435798163,0.6219516492217522,0.4771296352324562,0.214521486013834,0.7261954207812643,1.8500511639439088,2.310307540800204
internal_cv_target_index_valid,delta_all,pca20_random_forest,unweighted,5,0.4636347972337818,0.4669085393720789,0.6218391077386854,0.4766406744352263,0.2146964035301754,0.7256674339275819,1.8500511639439088,2.2614047494000262
internal_cv_target_index_valid,delta_all,pca100_random_forest,unweighted,5,0.463176635625644,0.465177257433908,0.6225634079767718,0.4746058202157319,0.2131916817450942,0.727069619676677,1.7998579488438402,4.483075501800068
internal_cv_target_index_valid,delta_all,pca50_ridge,unweighted,5,0.45903029635575,0.4479737674638991,0.6288894827196928,0.4818633022828349,0.1969918127811049,0.7209729620979958,1.8502691278746648,2.71240723919982
internal_cv_target_index_valid,delta_mask_target,pca50_ridge,unweighted,5,0.458936874633712,0.4478699565851706,0.6289164349869096,0.4818817290718784,0.196905861844974,0.7208569043800845,1.8502691278746648,2.6480455070001883
internal_cv_target_index_valid,delta_all,random_forest,unweighted,5,0.4451150507061773,0.4457283574557903,0.6291080834942622,0.4854467878082963,0.1964986964851963,0.7188447747089409,1.9227864604099536,114.62985008720008
internal_cv_target_index_valid,delta_mask_target,random_forest,unweighted,5,0.4416361806899515,0.442652182940802,0.6302018551515938,0.4861996579754315,0.193788866633091,0.7165327586613255,1.9227864604099536,114.12745923020002
