job_key,evaluation_scope,fold,feature_set,model,weighting,rank,perturbation_gene,y_true,y_pred,predicted_dependency_score,observed_n_cells,target_gene_index,top_k
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,8,RPS5,-1.0751681327819824,-2.0459653131513376,2.0459653131513376,144,7733,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,9,RPL9,-2.2644529342651367,-1.9996926705989533,1.9996926705989533,242,2034,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,10,RPL37A,-2.05885910987854,-1.888122310622421,1.888122310622421,386,1393,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,11,EIF3A,-1.8259128332138062,-1.8641106991649674,1.8641106991649674,379,4403,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,12,RPL10,-2.017896890640259,-1.8602491751002257,1.8602491751002257,276,8526,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,13,U2AF1,-1.8897511959075928,-1.8545296461372618,1.8545296461372618,141,-1,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,14,FBL,-1.3066600561141968,-1.8495506276240954,1.8495506276240954,132,7535,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,15,BCAS2,-1.1245582103729248,-1.7658823704573043,1.7658823704573043,227,496,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,16,DLD,-0.5330693125724792,-1.7495555282149273,1.7495555282149273,311,3397,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,17,RPS16,-2.5900864601135254,-1.7100170669807326,1.7100170669807326,57,7529,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,18,EIF2S3,-1.5129623413085938,-1.7046107497126604,1.7046107497126604,57,8335,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,19,USP39,-1.15226149559021,-1.7038952777663128,1.7038952777663128,220,1132,20
internal_cv_all|1|delta_all|pca100_random_forest|unweighted,internal_cv_all,1,delta_all,pca100_random_forest,unweighted,20,CHAF1A,-0.8295549750328064,-1.6832299297777156,1.6832299297777156,38,7239,20
