job_key,evaluation_scope,fold,feature_set,model,weighting,fit_seconds,spearman,spearman_defined,pearson,pearson_defined,rmse,mae,r2,auroc_lt_neg0p5,auprc_lt_neg0p5,top5pct_enrichment_lt_neg0p5,auroc_lt_neg1p0,auprc_lt_neg1p0,top5pct_enrichment_lt_neg1p0,checkpoint_path,n_train,n_test
internal_cv_target_index_valid|1|delta_mask_target|pca50_ridge|unweighted,internal_cv_target_index_valid,1,delta_mask_target,pca50_ridge,unweighted,2.850814793000154,0.4002776739751131,True,0.3759880467176885,True,0.6402691554287104,0.4963717316357442,0.12911458246339025,0.7479321848009871,0.9130689086425703,1.2851985559566788,0.6757031946035382,0.6158521759287896,1.7091906721536352,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_1/delta_mask_target__pca50_ridge__unweighted.joblib,1422,356
internal_cv_target_index_valid|1|delta_mask_target|random_forest|unweighted,internal_cv_target_index_valid,1,delta_mask_target,random_forest,unweighted,115.49357710599952,0.38908001877756954,True,0.3851906363985784,True,0.6358197854059194,0.5019735516382134,0.14117647144962608,0.7493945071516702,0.9151481692987555,1.2851985559566788,0.6732531500572738,0.6174800016318369,1.7091906721536352,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_1/delta_mask_target__random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|1|delta_mask_target|pca20_random_forest|unweighted,internal_cv_target_index_valid,1,delta_mask_target,pca20_random_forest,unweighted,2.272248496999964,0.400938346536589,True,0.4095873014962915,True,0.6281116110036249,0.49065845297662325,0.16187363788044773,0.7460128867157154,0.9054879975253693,1.2851985559566788,0.6751622756777396,0.6237641146321089,1.587105624142661,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_1/delta_mask_target__pca20_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|1|delta_mask_target|pca50_random_forest|unweighted,internal_cv_target_index_valid,1,delta_mask_target,pca50_random_forest,unweighted,3.2365270489999602,0.39700064232054594,True,0.40981417199473746,True,0.6273583596897345,0.4874157195730453,0.16388264781782702,0.7415345245167482,0.9049389311940964,1.2851985559566788,0.6786623393152603,0.6302860881506462,1.7091906721536352,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_1/delta_mask_target__pca50_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|1|delta_mask_target|pca100_random_forest|unweighted,internal_cv_target_index_valid,1,delta_mask_target,pca100_random_forest,unweighted,4.364443360000223,0.40785732238773026,True,0.4282784638913426,True,0.6209270239162646,0.47918151257609803,0.1809376165389045,0.7439107983366082,0.9103874432287425,1.2851985559566788,0.6870624920453099,0.6512761490702015,1.7091906721536352,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_1/delta_mask_target__pca100_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_all|pca50_ridge|unweighted,internal_cv_target_index_valid,2,delta_all,pca50_ridge,unweighted,2.728625847999865,0.5217581762883979,True,0.5417022353796384,True,0.6011902168680859,0.45927520594010235,0.281862118046749,0.7458333333333333,0.8976123582447181,1.218196457326892,0.75794144877566,0.7077527030749033,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_all__pca50_ridge__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_all|random_forest|unweighted,internal_cv_target_index_valid,2,delta_all,random_forest,unweighted,115.60812970500047,0.47692367024353655,True,0.5061237657076161,True,0.6153341545688965,0.4669833931168258,0.24767400151181818,0.7033967391304348,0.8754577688966998,1.218196457326892,0.750598601666507,0.6957681528669762,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_all__random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_all|pca20_random_forest|unweighted,internal_cv_target_index_valid,2,delta_all,pca20_random_forest,unweighted,2.155705393000062,0.5289415275526258,True,0.5564757590273238,True,0.5910587493838634,0.44689070155482136,0.3058627864400145,0.7327898550724639,0.8913491256323637,1.289855072463768,0.7768732241483894,0.7131052458099689,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_all__pca20_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_all|pca50_random_forest|unweighted,internal_cv_target_index_valid,2,delta_all,pca50_random_forest,unweighted,3.3060773530005463,0.5350437057241001,True,0.5535077360574514,True,0.5931621281153804,0.4490224499823524,0.3009135953940073,0.745697463768116,0.8955054776681589,1.289855072463768,0.7655396992625227,0.6975152423963473,1.9902166317260657,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_all__pca50_random_forest__unweighted.joblib,1422,356
internal_cv_target_index_valid|2|delta_all|pca100_random_forest|unweighted,internal_cv_target_index_valid,2,delta_all,pca100_random_forest,unweighted,4.502492152999366,0.5314113364921851,True,0.5484607170833279,True,0.5962786415833244,0.45236318201805026,0.29354820356799594,0.7453351449275363,0.8987797618666933,1.218196457326892,0.7654758484180954,0.7063433506068703,1.8658280922431867,/home/richard/projects/VCC/results/replogle_k562_b_to_c_baseline/runs/pca_rf_unweighted_20260514/models/cv/internal_cv_target_index_valid/fold_2/delta_all__pca100_random_forest__unweighted.joblib,1422,356
