evaluation_scope,feature_set,model,weighting,n_folds,fit_seconds_mean,fit_seconds_std,spearman_mean,spearman_std,spearman_defined_mean,spearman_defined_std,pearson_mean,pearson_std,pearson_defined_mean,pearson_defined_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,auroc_lt_neg0p5_mean,auroc_lt_neg0p5_std,auprc_lt_neg0p5_mean,auprc_lt_neg0p5_std,top5pct_enrichment_lt_neg0p5_mean,top5pct_enrichment_lt_neg0p5_std,auroc_lt_neg1p0_mean,auroc_lt_neg1p0_std,auprc_lt_neg1p0_mean,auprc_lt_neg1p0_std,top5pct_enrichment_lt_neg1p0_mean,top5pct_enrichment_lt_neg1p0_std
internal_cv_all,delta_mask_target,pca50_random_forest,unweighted,5,3.569744744199943,0.13804454662505333,0.49568835968858016,0.04032006953431582,1.0,0.0,0.49169851705912054,0.04693262750965914,1.0,0.0,0.6121034247642112,0.03414561449929138,0.4630588197339577,0.021231999590074897,0.2407680820669463,0.05001654442649549,0.7566795739689752,0.021121903286539574,0.8920783960751913,0.012437553737037692,1.307169014835358,0.04900758491234486,0.7420508087072134,0.03014056700598177,0.6783668012878238,0.04330426978865153,2.030524506539339,0.2522878175307808
internal_cv_all,delta_all,pca50_random_forest,unweighted,5,3.3828955096000755,0.1664144430593143,0.4941988402354006,0.03560781012147102,1.0,0.0,0.4934653302053055,0.0426690609648413,1.0,0.0,0.611516517436058,0.03218738526190014,0.4619846630479326,0.020313657752264583,0.24223570332491245,0.045643964607736294,0.7554153776060085,0.023578398146514776,0.8910931481086569,0.012459602330467213,1.307169014835358,0.04900758491234486,0.7420884583597985,0.027054064315291258,0.6779515664675712,0.040673366610874534,2.077069961084794,0.20324803142661063
internal_cv_all,delta_all,pca20_random_forest,unweighted,5,2.421440349199929,0.060463187431667606,0.4922237292733377,0.04302784464131776,1.0,0.0,0.4895567712272831,0.044550081733647835,1.0,0.0,0.6133929969700429,0.0336379666267463,0.4661810820242705,0.018603444443387556,0.23769399212464482,0.04680370985622488,0.7572692355943789,0.029476937373376616,0.8926882849843214,0.017301051104970416,1.307169014835358,0.04900758491234486,0.7419900479365344,0.02632368879512372,0.6716918372074718,0.038702338167363515,1.9584015185724695,0.1912484662351885
internal_cv_all,delta_all,pca100_random_forest,unweighted,5,4.775645838399941,0.2260176443166843,0.49132735421899054,0.04092687423771933,1.0,0.0,0.4832653951872132,0.04743499824814005,1.0,0.0,0.6156790543650809,0.03529910983469073,0.46339887485547104,0.02100181054201024,0.23203208389714441,0.04952756831225778,0.7532443935914255,0.029199108679846097,0.8902557452457266,0.0165948102167934,1.2800148428424765,0.05094839052958947,0.7424056471438492,0.029119061992951216,0.6769727933025276,0.04369508485557458,1.9357273223202143,0.26230498916660094
internal_cv_all,delta_mask_target,pca100_random_forest,unweighted,5,5.02853269440011,0.2999649369530717,0.4906487138635428,0.03669461566475535,1.0,0.0,0.4827809359537916,0.04460260229292561,1.0,0.0,0.6158514878701846,0.03300527375990663,0.46368070291644825,0.019917468422491064,0.2315032008697636,0.0467876398066419,0.7541553276071117,0.026626054606820524,0.8909732759770141,0.015427296943925646,1.2934414162690497,0.03306004123474814,0.742006508000896,0.029536578719300946,0.6761991935336826,0.04532938629431092,1.981674245845197,0.2010843823033475
internal_cv_all,delta_mask_target,pca20_random_forest,unweighted,5,2.44319696879993,0.206496460175031,0.49016531521019546,0.0433412211571283,1.0,0.0,0.4870311375168715,0.047645794836448464,1.0,0.0,0.6143338340041264,0.03528751501044054,0.4670169688745668,0.0203495633137362,0.23537603148652528,0.04979258767562718,0.75610109226499,0.02864647828968931,0.8920596605925614,0.01622026961800587,1.2935874545516701,0.062438481959502516,0.7394635192525912,0.02667999185593551,0.669521501021284,0.040631080502746296,1.9339368070007452,0.179221616872417
internal_cv_all,delta_all,pca50_ridge,unweighted,5,2.679073073399832,0.18471475491026723,0.4848062270439771,0.05037353562488231,1.0,0.0,0.47350077408117774,0.05367856693437255,1.0,0.0,0.6190230862368923,0.03768484526562528,0.47186747330205375,0.02216621134813574,0.22376974515138165,0.053290435485880014,0.7521208397715098,0.02544415233606972,0.8913252992037897,0.01367204019017659,1.266807946290752,0.04529618654256966,0.7375761399612266,0.0381314842112916,0.6696881946582514,0.043491474641105914,1.9820485716230585,0.12526451258835986
internal_cv_all,delta_mask_target,pca50_ridge,unweighted,5,2.683683381800074,0.1256042901294796,0.48443937406318477,0.05063583147322829,1.0,0.0,0.4734498376429541,0.05374089593606548,1.0,0.0,0.6190363683219526,0.03768767045569462,0.47180616723298285,0.022187850019414087,0.22373527708346738,0.0533035445454952,0.7520039523878426,0.02535251332385544,0.8912660026536916,0.01363161041008099,1.266807946290752,0.04529618654256966,0.73737469072095,0.03847641706609909,0.6696251062924734,0.0435106255985729,1.9820485716230585,0.12526451258835986
internal_cv_all,delta_all,random_forest,unweighted,5,127.4081337225999,3.2656505775486235,0.4758254919949844,0.04694987050085912,1.0,0.0,0.48079817152388316,0.05382486955685538,1.0,0.0,0.6163412106713733,0.03772331549848407,0.47173691251951044,0.023211766004643107,0.23054633711091582,0.05218948038821502,0.743165035176945,0.026858241367907352,0.8896929456203695,0.01812543443342281,1.3073240016924728,0.07189543631743713,0.733800237896203,0.03406098274051229,0.6704854124834163,0.04537886277946543,2.005769709381006,0.2023746490441388
internal_cv_all,delta_mask_target,random_forest,unweighted,5,126.75287561019995,1.592754777456116,0.47430237823465893,0.04243780408762268,1.0,0.0,0.4794162852726969,0.05137538122928836,1.0,0.0,0.6169553788448371,0.03683962827928864,0.4722698897588856,0.022892153378854807,0.2290477862629932,0.04958963983605651,0.7423361084452733,0.024881603399146482,0.8889663601102346,0.017093083752294937,1.320750575119046,0.0524357752480953,0.7337063177239415,0.03295033777328697,0.6711730056591066,0.04571980092928085,2.0526844119623755,0.15223296135931375
