evaluation_scope,feature_set,model,weighting,n_folds,spearman_mean,spearman_std,pearson_mean,pearson_std,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,auroc_lt_neg0p5_mean,auroc_lt_neg0p5_std,auprc_lt_neg0p5_mean,auprc_lt_neg0p5_std,top5pct_enrichment_lt_neg0p5_mean,top5pct_enrichment_lt_neg0p5_std,auroc_lt_neg1p0_mean,auroc_lt_neg1p0_std,auprc_lt_neg1p0_mean,auprc_lt_neg1p0_std,top5pct_enrichment_lt_neg1p0_mean,top5pct_enrichment_lt_neg1p0_std
internal_cv_all,delta_all,pca50_ridge,unweighted,5,0.4848062270439771,0.05037353562488231,0.47350077408117774,0.05367856693437255,0.6190230862368923,0.03768484526562528,0.47186747330205375,0.02216621134813574,0.22376974515138165,0.053290435485880014,0.7521208397715098,0.02544415233606972,0.8913252992037897,0.01367204019017659,1.266807946290752,0.04529618654256966,0.7375761399612266,0.0381314842112916,0.6696881946582514,0.043491474641105914,1.9820485716230585,0.12526451258835986
internal_cv_all,delta_mask_target,pca50_ridge,unweighted,5,0.48443937406318477,0.05063583147322829,0.4734498376429541,0.05374089593606548,0.6190363683219526,0.03768767045569462,0.47180616723298285,0.022187850019414087,0.22373527708346738,0.0533035445454952,0.7520039523878426,0.02535251332385544,0.8912660026536916,0.01363161041008099,1.266807946290752,0.04529618654256966,0.73737469072095,0.03847641706609909,0.6696251062924734,0.0435106255985729,1.9820485716230585,0.12526451258835986
internal_cv_all,delta_all,pca50_ridge,sqrt_n_cells,5,0.48356223107200513,0.04431790462250774,0.4707190629381729,0.04908702718489934,0.6205913513892293,0.035038459202391466,0.47184160534880243,0.019493597229291008,0.21974321406938652,0.04940699349699783,0.7529053927942315,0.024656516606074513,0.8911693790103454,0.014087659078452592,1.2668079462907522,0.0656136833293092,0.7360842663228117,0.03310938878750104,0.6693366881366731,0.038693602392672895,1.9822727768656687,0.15376681094887817
internal_cv_all,delta_mask_target,pca50_ridge,sqrt_n_cells,5,0.4835498014879329,0.044648558463634226,0.4707216399013284,0.04916999873012705,0.6205855791770537,0.035023751752830894,0.47179751662160685,0.019525259664371086,0.21975350457232504,0.04943965766525696,0.7529330964620033,0.024805717067326084,0.8911168801092302,0.01419389476436454,1.2668079462907522,0.0656136833293092,0.7360512071117121,0.03333262935771752,0.6693163464395413,0.03898229629870268,1.9822727768656687,0.15376681094887817
internal_cv_all,delta_all,pca20_ridge,sqrt_n_cells,5,0.4815685490213449,0.035199328132695155,0.46409212657858195,0.043148238820804055,0.6227635166824854,0.032128255473273366,0.47616264663759217,0.01681622760145001,0.21431447700286207,0.04191700608339726,0.7526496552056532,0.023994426987231275,0.8906019494320121,0.012807220435169311,1.2669629331478667,0.06953124109018921,0.7361780676443896,0.029217420279854567,0.6620815081437443,0.04059916854909425,1.8882140887183732,0.20524650500443492
internal_cv_all,delta_all,pca100_ridge,unweighted,5,0.4813256482455115,0.04769396876910461,0.47421382505800247,0.0528351864379497,0.6188902420120013,0.03681403745044328,0.4715854738263413,0.020633145013181167,0.22396870752386486,0.053534935195101926,0.7532646895049361,0.027354432682313874,0.8915161845318382,0.015110055740588768,1.266807946290752,0.04529618654256966,0.7356878337160773,0.037209375809401854,0.6736205772904377,0.046029390070399016,2.0055455041383956,0.13908293919357742
internal_cv_all,delta_mask_target,pca20_ridge,sqrt_n_cells,5,0.48095418020423664,0.03543239254948744,0.46377214904684455,0.04316486068930799,0.622886526506518,0.0321101651816741,0.47626701998495324,0.016824920154926162,0.21400259780622335,0.041905168056609834,0.7521811012522138,0.024017051802821262,0.8903267597044922,0.012935181975970725,1.2669629331478667,0.06953124109018921,0.7359326893639945,0.02935527099641999,0.6619838153200128,0.04056842254301824,1.9114868159911,0.17250498330862654
internal_cv_all,delta_mask_target,pca100_ridge,unweighted,5,0.48063239299557364,0.047751597042239614,0.474296459210782,0.0531118898566158,0.6188456720782651,0.03689624965460174,0.47157176050281463,0.020668767872488895,0.22407335427703723,0.053801808416558045,0.7524914168508435,0.027028263509434533,0.8911359347916626,0.014828189827733112,1.266807946290752,0.04529618654256966,0.7354922740588133,0.03756237310720871,0.6736427929658395,0.04663642603012202,2.0055455041383956,0.13908293919357742
internal_cv_all,delta_all,pca20_ridge,unweighted,5,0.4795571542502718,0.03871005740591504,0.46343688242803527,0.045662260508176525,0.6225674497689097,0.033527505571405554,0.47663814378812486,0.017766398391140192,0.21487893668710817,0.04345884470012456,0.7491703787480983,0.024201891465333875,0.8890677553702526,0.012094797275098193,1.2803895065744402,0.06139973433255966,0.7363403517902232,0.03169762060790117,0.6600405017694935,0.04304356882448954,1.9114868159911,0.1911235652665412
internal_cv_all,delta_mask_target,pca20_ridge,unweighted,5,0.4792646373301217,0.038652566720536824,0.4631074857352678,0.0456949262647443,0.622691713523727,0.03351905710360977,0.4767504871030107,0.017777776653391565,0.21456428995972682,0.04346556139030808,0.7489521817797556,0.0241635647484635,0.8889094130118019,0.012146347895496465,1.2803895065744402,0.06139973433255966,0.7362186625410624,0.031706391613767586,0.6597666837814039,0.04301057527728343,1.9114868159911,0.1911235652665412
