evaluation_scope,fold,feature_set,model,weighting,spearman,pearson,rmse,mae,r2,auroc_lt_neg0p5,auprc_lt_neg0p5,top5pct_enrichment_lt_neg0p5,auroc_lt_neg1p0,auprc_lt_neg1p0,top5pct_enrichment_lt_neg1p0
internal_cv_all,0,delta_all,mean_label,unweighted,,,0.6854439893462009,0.539976987927206,-9.692507876080114e-05,0.5,0.7447916666666666,1.006993006993007,0.5,0.4296875,0.8145454545454545
internal_cv_all,0,delta_all,ridge,unweighted,0.31817694381336675,0.32641353813334084,0.7125220439634407,0.5557990645788777,-0.08067413518306421,0.6428571428571428,0.8441617883648105,1.2755244755244755,0.6499515704995158,0.5807535383293082,1.5127272727272727
internal_cv_all,0,delta_all,ridge,sqrt_n_cells,0.31706558780644944,0.3256849624169569,0.7133335946412932,0.5563668501983253,-0.08313727661417691,0.6420008562865707,0.8438212573272589,1.2755244755244755,0.6494257644942576,0.580358773070471,1.5127272727272727
internal_cv_all,0,delta_all,elastic_net,unweighted,0.2968530653419687,0.29077849966256164,0.7620065511682774,0.5872629222765985,-0.23599170827130123,0.6320108462965606,0.8377151018519927,1.2083916083916084,0.655984502559845,0.5849104961868887,1.5127272727272727
internal_cv_all,0,delta_all,elastic_net,sqrt_n_cells,0.28114996948221493,0.2840596065163671,0.7742495749664267,0.600059181917004,-0.2760276887198103,0.6216283716283717,0.836122073139146,1.2755244755244755,0.6429223744292237,0.5702194658500743,1.5127272727272727
internal_cv_all,0,delta_all,pca20_ridge,unweighted,0.45425044928961383,0.4476240194302326,0.6129658120902298,0.4778958660349417,0.20021979246688126,0.7158555729984302,0.8680648133803304,1.2755244755244755,0.7292375812923758,0.6390899657341234,1.8618181818181818
internal_cv_all,0,delta_all,pca20_ridge,sqrt_n_cells,0.4604307246278526,0.4524976621738347,0.6113114093090827,0.47493328825733744,0.2045312009087974,0.7220636506350792,0.8681391405937975,1.2083916083916084,0.7320603293206034,0.6420072025176268,1.629090909090909
internal_cv_all,0,delta_all,pca50_ridge,unweighted,0.47038121799871147,0.4589027148920628,0.6091962408367168,0.4714422668750255,0.21002640235260173,0.7311973740545169,0.873759951134357,1.2755244755244755,0.7330842673308426,0.6455325658555751,1.8618181818181818
internal_cv_all,0,delta_all,pca50_ridge,sqrt_n_cells,0.4682203892713031,0.45839170524975176,0.6094338440981735,0.47036060260461454,0.2094100593917717,0.7331953760525189,0.8731626282608225,1.2083916083916084,0.7324200913242009,0.6523910763498507,1.8618181818181818
internal_cv_all,0,delta_all,pca100_ridge,unweighted,0.4547046132718457,0.4510032456273667,0.6124952120742657,0.4748878839535185,0.20144737185493278,0.7240973312401884,0.870826519042085,1.2755244755244755,0.7220423412204234,0.6441305761789828,1.8618181818181818
internal_cv_all,0,delta_all,pca100_ridge,sqrt_n_cells,0.4565153351870062,0.45506099698103974,0.6108596763918851,0.47280391992853765,0.20570640119939954,0.7256671899529041,0.8708131854981072,1.2083916083916084,0.7257229832572298,0.646454920556022,1.8618181818181818
internal_cv_all,0,delta_all,random_forest,unweighted,0.4626714506120511,0.4835488858865745,0.6007364608620751,0.4624097943935235,0.231814455693094,0.7108962466105324,0.8645163660118941,1.2083916083916084,0.742742493427425,0.6640509206545266,1.7454545454545454
internal_cv_all,0,delta_all,random_forest,sqrt_n_cells,0.46216917873249463,0.48122075493417765,0.6019896980331189,0.46663547004849953,0.2286059842996887,0.7144641073212502,0.8700030160510459,1.2083916083916084,0.7403348554033484,0.6620199626952485,1.629090909090909
internal_cv_all,0,delta_mask_target,mean_label,unweighted,,,0.6854439893462009,0.539976987927206,-9.692507876080114e-05,0.5,0.7447916666666666,1.006993006993007,0.5,0.4296875,0.8145454545454545
internal_cv_all,0,delta_mask_target,ridge,unweighted,0.32018730290597136,0.3269630244060864,0.7140673331935374,0.5576213373177173,-0.08536666359322087,0.6438204652490367,0.8457492263386571,1.2755244755244755,0.6502836585028366,0.5809086613273041,1.5127272727272727
internal_cv_all,0,delta_mask_target,ridge,sqrt_n_cells,0.31956338374419313,0.3262246683071024,0.7149105293854026,0.5582294391153179,-0.08793145638461741,0.6435707149992864,0.8458060615392076,1.2755244755244755,0.6498962224989624,0.5809015009583582,1.5127272727272727
internal_cv_all,0,delta_mask_target,elastic_net,unweighted,0.2831376521650673,0.2793537288048978,0.7731639101714145,0.5940880327636174,-0.27245166591687386,0.6286570572284859,0.8362772159114202,1.2755244755244755,0.6486785664867858,0.5762280607351065,1.629090909090909
internal_cv_all,0,delta_mask_target,elastic_net,sqrt_n_cells,0.268273159608016,0.27761838186256793,0.7807906759622116,0.6039772053865514,-0.2976793207033459,0.6185956900242614,0.8342626646053556,1.2755244755244755,0.6373045523730455,0.5658412237188396,1.5127272727272727
internal_cv_all,0,delta_mask_target,pca20_ridge,unweighted,0.4536542928351022,0.4472214614201054,0.6131035006179244,0.47803265170978193,0.19986044803006364,0.7156415013557871,0.8678480871681952,1.2755244755244755,0.728684101286841,0.6383835690718472,1.8618181818181818
internal_cv_all,0,delta_mask_target,pca20_ridge,sqrt_n_cells,0.4595334169746702,0.4520261515090998,0.6114757078311215,0.47510283630814837,0.20410355663781388,0.7214571143142572,0.8676487254645401,1.2083916083916084,0.7316452193164522,0.641871124307869,1.7454545454545454
internal_cv_all,0,delta_mask_target,pca50_ridge,unweighted,0.47009596147977345,0.45846918522058,0.6093593139237052,0.4715112427979875,0.20960341656686354,0.7312687312687314,0.8737873038935029,1.2755244755244755,0.7330565933305659,0.6460231920997614,1.8618181818181818
internal_cv_all,0,delta_mask_target,pca50_ridge,sqrt_n_cells,0.46796331931775803,0.4579240349256162,0.6096113709028333,0.47055266491300546,0.20894939791300937,0.7330526616240901,0.8727839365514892,1.2083916083916084,0.7321156773211569,0.6516106678333223,1.8618181818181818
internal_cv_all,0,delta_mask_target,pca100_ridge,unweighted,0.45509837747109283,0.45064434842791223,0.6126173078427386,0.47511295450703983,0.2011289706241336,0.7243827600970458,0.8710298349938771,1.2755244755244755,0.7220423412204235,0.6436532232934312,1.8618181818181818
internal_cv_all,0,delta_mask_target,pca100_ridge,sqrt_n_cells,0.45605099860974535,0.45450744606449023,0.611062304519378,0.47314087693742596,0.2051793638959274,0.7259526188097617,0.8707974865708037,1.2083916083916084,0.7250864812508647,0.6453479127904596,1.8618181818181818
internal_cv_all,0,delta_mask_target,random_forest,unweighted,0.4647799328608728,0.48444059794198535,0.6004385963268662,0.4615426188857787,0.23257604923043695,0.712430426716141,0.8649890365947384,1.2755244755244755,0.7441538674415387,0.6663324775034243,1.8618181818181818
internal_cv_all,0,delta_mask_target,random_forest,sqrt_n_cells,0.46443279305550844,0.47967631516291115,0.6026712633694474,0.46712973987323353,0.22685826984416135,0.7180676466390752,0.8715523992539118,1.2083916083916084,0.74346201743462,0.6633100863455124,1.629090909090909
