arm,split,best_epoch,best_step,stopped_epoch,train_geneeffect_loss,train_geneeffect_rmse,train_geneeffect_mae,train_geneeffect_valid_pairs,train_geneeffect_possible_pairs,train_geneeffect_missing_pairs,train_geneeffect_coverage,train_geneeffect_pearson_macro_per_line,train_geneeffect_pearson_per_line_scored,train_geneeffect_pearson_per_line_undefined,train_geneeffect_spearman_macro_per_line,train_geneeffect_spearman_per_line_scored,train_geneeffect_spearman_per_line_undefined,train_residual_pearson_macro_per_gene,train_residual_pearson_per_gene_scored,train_residual_pearson_per_gene_undefined,train_residual_spearman_macro_per_gene,train_residual_spearman_per_gene_scored,train_residual_spearman_per_gene_undefined,train_residual_target_sd_macro_per_gene,train_residual_target_sd_per_gene_scored,train_residual_target_sd_per_gene_undefined,train_residual_prediction_sd_macro_per_gene,train_residual_prediction_sd_per_gene_scored,train_residual_prediction_sd_per_gene_undefined,train_residual_sd_ratio_macro_per_gene,train_residual_sd_ratio_per_gene_scored,train_residual_sd_ratio_per_gene_undefined,train_residual_rmse_macro_per_gene,train_residual_rmse_per_gene_scored,train_residual_rmse_per_gene_undefined,train_residual_mae_macro_per_gene,train_residual_mae_per_gene_scored,train_residual_mae_per_gene_undefined,val_geneeffect_loss,val_geneeffect_rmse,val_geneeffect_mae,val_geneeffect_valid_pairs,val_geneeffect_possible_pairs,val_geneeffect_missing_pairs,val_geneeffect_coverage,val_geneeffect_pearson_macro_per_line,val_geneeffect_pearson_per_line_scored,val_geneeffect_pearson_per_line_undefined,val_geneeffect_spearman_macro_per_line,val_geneeffect_spearman_per_line_scored,val_geneeffect_spearman_per_line_undefined,val_residual_pearson_macro_per_gene,val_residual_pearson_per_gene_scored,val_residual_pearson_per_gene_undefined,val_residual_spearman_macro_per_gene,val_residual_spearman_per_gene_scored,val_residual_spearman_per_gene_undefined,val_residual_target_sd_macro_per_gene,val_residual_target_sd_per_gene_scored,val_residual_target_sd_per_gene_undefined,val_residual_prediction_sd_macro_per_gene,val_residual_prediction_sd_per_gene_scored,val_residual_prediction_sd_per_gene_undefined,val_residual_sd_ratio_macro_per_gene,val_residual_sd_ratio_per_gene_scored,val_residual_sd_ratio_per_gene_undefined,val_residual_rmse_macro_per_gene,val_residual_rmse_per_gene_scored,val_residual_rmse_per_gene_undefined,val_residual_mae_macro_per_gene,val_residual_mae_per_gene_scored,val_residual_mae_per_gene_undefined
A0,train,3,8835,8,0.015133827924728394,0.17505012452602386,0.11756357550621033,3015332.0,3023790.0,8458.0,0.9972028480813813,0.9159551478477442,170.0,0.0,0.7389701809793996,170.0,0.0,0.1693473975241287,4447.0,0.0,0.16520098198521005,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.030901781480561507,4447.0,0.0,0.12008831189142458,4447.0,0.0,0.25977983011909167,4447.0,0.0,0.19647927741874943,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,val,3,8835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016368767246603966,0.18186131119728088,0.12434359639883041,479084.0,480249.0,1165.0,0.9975741750633526,0.9092814963152621,27.0,0.0,0.7127091057734511,27.0,0.0,0.04946939654555136,4447.0,0.0,0.0515323084830618,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.022947100544541077,4447.0,0.0,0.09287786234889206,4447.0,0.0,0.2617915225768268,4447.0,0.0,0.20256526409072323,4447.0,0.0
A1,train,6,17670,11,0.014881851151585579,0.17356421053409576,0.11663691699504852,3015332.0,3023790.0,8458.0,0.9972028480813813,0.9173564608772619,170.0,0.0,0.7394915444067139,170.0,0.0,0.2025582452454021,4447.0,0.0,0.19699626077095317,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.0410758134212178,4447.0,0.0,0.15543120147266998,4447.0,0.0,0.2567247812757921,4447.0,0.0,0.1936711029358435,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1,val,6,17670,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01637006178498268,0.1818685233592987,0.12423265725374222,479084.0,480249.0,1165.0,0.9975741750633526,0.9092775992777702,27.0,0.0,0.7122614239467401,27.0,0.0,0.04961196014423608,4447.0,0.0,0.04786165262666275,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.03236225708778899,4447.0,0.0,0.1270402800053769,4447.0,0.0,0.26184493870728587,4447.0,0.0,0.20246218405910696,4447.0,0.0
A2,train,3,8835,8,0.014303547330200672,0.17014341056346893,0.11407332122325897,3015332.0,3023790.0,8458.0,0.9972028480813813,0.9207931662289077,170.0,0.0,0.7568773934383101,170.0,0.0,0.31441439475193866,4447.0,0.0,0.30368970698543074,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.0516235223651381,4447.0,0.0,0.20323511972727704,4447.0,0.0,0.25244316931653177,4447.0,0.0,0.19054986072150384,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A2,val,3,8835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016193823888897896,0.18084439635276794,0.1240457072854042,479084.0,480249.0,1165.0,0.9975741750633526,0.9102926731359764,27.0,0.0,0.7125458276036263,27.0,0.0,0.1315127383199053,4447.0,0.0,0.12699661156373546,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.0449632188223888,4447.0,0.0,0.18857417564039283,4447.0,0.0,0.25959418790405886,4447.0,0.0,0.20074696652420934,4447.0,0.0
A3,train,3,8835,8,0.014305255375802517,0.1701536476612091,0.11407991498708725,3015332.0,3023790.0,8458.0,0.9972028480813813,0.9207784608456,170.0,0.0,0.756871692509224,170.0,0.0,0.3144204561518695,4447.0,0.0,0.3039768859764978,4447.0,0.0,0.26585062496506723,4447.0,0.0,0.05167480932599003,4447.0,0.0,0.2033321213356628,4447.0,0.0,0.25248218771962866,4447.0,0.0,0.19058382399626653,4447.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A3,val,3,8835,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016203081235289574,0.18089929223060608,0.1240183562040329,479084.0,480249.0,1165.0,0.9975741750633526,0.9102021197563542,27.0,0.0,0.7126808044993651,27.0,0.0,0.12804208039067025,4447.0,0.0,0.12395875942761483,4447.0,0.0,0.25578832198948703,4447.0,0.0,0.04439970284750704,4447.0,0.0,0.18644125441723308,4447.0,0.0,0.25974107308963584,4447.0,0.0,0.20078665345653832,4447.0,0.0
