label,folds,kept_folds,pooled_external_delta,pooled_external_ci_low,pooled_external_ci_high,pooled_ratio,pooled_ratio_ci_low,pooled_ratio_ci_high,kept_all
V0,4,0,320.3403358587346,318.4772015439464,322.2348573144611,17.32786956371241,16.810796441511282,17.879200730577665,False
V1,4,0,0.5191021029733518,0.449450566947274,0.5796868987691024,1.0306257714657174,1.0279726999165049,1.0331313974379217,False
V2,4,0,200.3704365258261,199.23928507823211,201.54032180282505,11.99818201244019,11.626426787995292,12.39197622808646,False
V2-null,4,0,326.19056095439225,324.6158439438267,327.7510896587647,18.192044884310505,17.71830324298519,18.720829864747934,False
