experiment,encoder,run_dir,mask,exact_hit@1,exact_hit@5,exact_hit@8,exact_hit@10,mrr,relevant_hit@1,relevant_hit@5,relevant_hit@8,relevant_hit@10,ndcg@1,ndcg@5,ndcg@8,ndcg@10,macro_hit@1,macro_hit@5,n_queries,n_in_pool,n_conditions,confidence_auc,coverage_accuracy_curve
scgpt_finetune_cls,scgpt,results/scgpt_head_only_cls/20251224_165549,True,0.1532040117710648,0.3801573479070326,0.46213440634196146,0.4999099153204012,0.24983799056827705,0.3577562909134587,0.552399255299982,0.6105339018677557,0.6414629751966849,0.1532040117710648,0.270043224878518,0.29768628109376516,0.30884945256468443,0.14456077186056845,0.36954956111300413,16651,16651,282,0.2572930059564162,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.6778846153846154, 0.527927927927928, 0.446936323588306, 0.378978978978979, 0.3361364728495915, 0.3075075075075075, 0.28470911275098676, 0.26546546546546546, 0.2497330485851575, 0.2363963963963964, 0.2253767198078183, 0.21351351351351353, 0.20465674951492194, 0.1957099957099957, 0.18649903907751442, 0.178003003003003, 0.17049388822157846, 0.16409743076409744, 0.15817423188772284, 0.1532040117710648]}"
scgpt_finetune_cls,scgpt,results/scgpt_head_only_cls/20251224_165549,False,0.1449162212479731,0.3694672992613056,0.4548675755209897,0.4909014473605189,0.2404254523061201,0.3466458470962705,0.5444718034952856,0.6054291033571557,0.6334154104858567,0.1449162212479731,0.26004174061148955,0.28883570212423454,0.2994853673592483,0.13673710931288555,0.3592613724161841,16651,16651,282,0.24068422407722634,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.6045673076923077, 0.4810810810810811, 0.4048858630356428, 0.3546546546546547, 0.3214800576645843, 0.2968968968968969, 0.27629998283851037, 0.2531531531531532, 0.2367859049652963, 0.2221021021021021, 0.21019873334789255, 0.1998998998998999, 0.19052018848748037, 0.1825825825825826, 0.17464766175528507, 0.16734234234234235, 0.1611672436939165, 0.1552886219552886, 0.14995574661777722, 0.1449162212479731]}"
scgpt_head_only,scgpt,results/scgpt_head_only/20251224_163405,True,0.13849018076992373,0.35907753288090805,0.4406341961443757,0.4804516245270554,0.23194171568893807,0.36448261365683743,0.5445919164014174,0.5988829499729746,0.6274698216323344,0.13849018076992373,0.2511614479617059,0.2786917175941531,0.2904530405849581,0.13013860092467286,0.3509828330546055,16651,16651,282,0.20990660916281928,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.546875, 0.421021021021021, 0.3496195434521426, 0.3033033033033033, 0.27030273906775587, 0.24304304304304306, 0.22636004805217091, 0.2111111111111111, 0.1994127068873465, 0.18966966966966967, 0.18290019654946496, 0.17707707707707707, 0.16973112815300748, 0.16353496353496352, 0.158472133247918, 0.15427927927927929, 0.149508938034339, 0.14474474474474475, 0.14135794664306486, 0.13849018076992373]}"
scgpt_head_only,scgpt,results/scgpt_head_only/20251224_163405,False,0.1312834064020179,0.35337216983964925,0.4393129541769263,0.4796108341841331,0.2269681119299761,0.3615999039096751,0.539126779172422,0.5979821031769864,0.627169539367005,0.1312834064020179,0.24548790115560232,0.27454852786476874,0.2864659785761219,0.12360895516041666,0.345090344115445,16651,16651,282,0.19556916321916545,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.484375, 0.37237237237237236, 0.32078494193031637, 0.28468468468468466, 0.2544449783757809, 0.23063063063063063, 0.2138321606315428, 0.2003003003003003, 0.18846769887880405, 0.18054054054054053, 0.1719807818300939, 0.16566566566566568, 0.1588284209553728, 0.154011154011154, 0.149583600256246, 0.14444444444444443, 0.1409595138839822, 0.13787120453787122, 0.13415096725249714, 0.1312834064020179]}"
scgpt_finetune_lora,scgpt,results/scgpt_lora_head/20251224_172737,True,0.014233379376614017,0.05327007386943727,0.08558044561888174,0.10948291393910276,0.033730349385565295,0.05867515464536664,0.23073689267911837,0.3216023061677977,0.3795567833763738,0.014233379376614017,0.03306374104244584,0.04389213726657882,0.05093946856133404,0.014186912686790586,0.058227036364329264,16651,16651,282,0.022209846538504906,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.06610576923076923, 0.04504504504504504, 0.0368442130556668, 0.03183183183183183, 0.02787121576165305, 0.025225225225225224, 0.023682855671872317, 0.022822822822822823, 0.02148958889482114, 0.02018018018018018, 0.018999781611705614, 0.017917917917917917, 0.017370414857248453, 0.017074217074217073, 0.016575912876361308, 0.01614114114114114, 0.015403094750229633, 0.014948281614948282, 0.014603616133518776, 0.014233379376614017]}"
scgpt_finetune_lora,scgpt,results/scgpt_lora_head/20251224_172737,False,0.013032250315296378,0.05098792865293376,0.08534021980661823,0.10900246231457571,0.03267345113930905,0.0578343643024443,0.22821452165035133,0.32718755630292473,0.381478589874482,0.013032250315296378,0.031580777840521636,0.0430160661128158,0.049996830917397025,0.012655087082599648,0.05628329217353067,16651,16651,282,0.021101793768451536,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.07091346153846154, 0.04504504504504504, 0.03604325190228274, 0.030930930930930932, 0.02787121576165305, 0.024624624624624624, 0.02282478119100738, 0.02117117117117117, 0.01962092899092365, 0.018498498498498498, 0.017471063550993666, 0.016416416416416415, 0.016076873325325695, 0.015100815100815101, 0.014493914157591287, 0.013888888888888888, 0.013495372005935138, 0.013213213213213212, 0.013276014666835251, 0.013032250315296378]}"
scgpt,scgpt,results/scgpt/20251224_161859,True,0.06840430004203951,0.1987268031950033,0.2586030869016876,0.2899525554020779,0.125195326464019,0.2097171341060597,0.4030388565251336,0.47270434208155665,0.5087982703741517,0.06840430004203951,0.13428086667223987,0.15440369023887637,0.16365111399896462,0.06734675874974132,0.19725787375860743,16651,16651,282,0.09681009038397383,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.20673076923076922, 0.16336336336336335, 0.14697637164597516, 0.13363363363363365, 0.12397885631907736, 0.11571571571571572, 0.10949030375836623, 0.10255255255255255, 0.09703683929524827, 0.09225225225225225, 0.08986678314042368, 0.08648648648648649, 0.08297144969047399, 0.08159588159588159, 0.07943625880845612, 0.0765015015015015, 0.0743305306295485, 0.07227227227227227, 0.07017322038184347, 0.06840430004203951]}"
scgpt,scgpt,results/scgpt/20251224_161859,False,0.07224791303825596,0.20893640021620324,0.2662903128941205,0.2983004023782355,0.13142170306755016,0.22683322322983604,0.4174524052609453,0.4818929794006366,0.5160651011951234,0.07224791303825596,0.1417375393663,0.16102841279073835,0.17046536166948642,0.07197774653759212,0.20519616237892258,16651,16651,282,0.10119642832730699,"{'coverage': [0.05, 0.1, 0.15, 0.2, 0.25, 0.3, 0.35, 0.39999999999999997, 0.44999999999999996, 0.49999999999999994, 0.5499999999999999, 0.6, 0.65, 0.7, 0.75, 0.7999999999999999, 0.85, 0.9, 0.95, 1.0], 'accuracy': [0.20072115384615385, 0.16756756756756758, 0.144973968762515, 0.13753753753753753, 0.12782316194137433, 0.12132132132132133, 0.1141239059550369, 0.11006006006006006, 0.10584623598505072, 0.10174174174174175, 0.0964184319720463, 0.09269269269269269, 0.08962394899750531, 0.0864006864006864, 0.08263933376041, 0.07987987987987988, 0.0777220377305165, 0.07640974307640974, 0.074661777721583, 0.07224791303825596]}"
